Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2019-11-12,Black Swan,2010,https://letterboxd.com/claycarson/film/black-swan/,,,,2015-11-09
2019-11-12,Blade: Trinity,2004,https://letterboxd.com/claycarson/film/blade-trinity/,,,,2015-11-09
2019-11-12,Blank Check,1994,https://letterboxd.com/claycarson/film/blank-check/,,,,2015-11-09
2019-11-12,Blood Diamond,2006,https://letterboxd.com/claycarson/film/blood-diamond/,,,,2015-11-09
2019-11-12,Blue Jasmine,2013,https://letterboxd.com/claycarson/film/blue-jasmine/,,,,2015-11-09
2019-11-12,Blue Valentine,2010,https://letterboxd.com/claycarson/film/blue-valentine/,,,,2015-11-09
2019-11-12,Boogie Nights,1997,https://letterboxd.com/claycarson/film/boogie-nights/,,,,2015-11-09
2019-11-12,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,https://letterboxd.com/claycarson/film/borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan/,,,,2015-11-09
2019-11-12,Bottle Rocket,1996,https://letterboxd.com/claycarson/film/bottle-rocket-1996/,,,,2015-11-09
2019-11-12,Boyhood,2014,https://letterboxd.com/claycarson/film/boyhood/,,,,2015-11-09
2019-11-12,Braveheart,1995,https://letterboxd.com/claycarson/film/braveheart/,,,,2015-11-09
2019-11-12,Breach,2007,https://letterboxd.com/claycarson/film/breach/,,,,2015-11-09
2019-11-12,Bridesmaids,2011,https://letterboxd.com/claycarson/film/bridesmaids/,,,,2015-11-09
2019-11-12,Bring It On,2000,https://letterboxd.com/claycarson/film/bring-it-on/,,,,2015-11-09
2019-11-12,Brink!,1998,https://letterboxd.com/claycarson/film/brink/,,,,2015-11-09
2019-11-12,Bull Durham,1988,https://letterboxd.com/claycarson/film/bull-durham/,,,,2015-11-09
2019-11-12,Burn After Reading,2008,https://letterboxd.com/claycarson/film/burn-after-reading/,,,,2015-11-09
2019-11-12,Cabin Fever,2002,https://letterboxd.com/claycarson/film/cabin-fever/,,,,2015-11-09
2019-11-12,Caddyshack,1980,https://letterboxd.com/claycarson/film/caddyshack/,5,,,2015-11-09
2019-11-12,Camp Nowhere,1994,https://letterboxd.com/claycarson/film/camp-nowhere/,,,,2015-11-09
2019-11-12,Can't Hardly Wait,1998,https://letterboxd.com/claycarson/film/cant-hardly-wait/,,,,2015-11-09
2019-11-12,Capote,2005,https://letterboxd.com/claycarson/film/capote/,,,,2015-11-09
2019-11-12,Captain America: The First Avenger,2011,https://letterboxd.com/claycarson/film/captain-america-the-first-avenger/,,,,2015-11-09
2019-11-12,Captain America: The Winter Soldier,2014,https://letterboxd.com/claycarson/film/captain-america-the-winter-soldier/,,,,2015-11-09
2019-11-12,Captain Phillips,2013,https://letterboxd.com/claycarson/film/captain-phillips/,,,,2015-11-09
2019-11-12,Cars,2006,https://letterboxd.com/claycarson/film/cars/,,,,2015-11-09
2019-11-12,Casino,1995,https://letterboxd.com/claycarson/film/casino/,,,,2015-11-09
2019-11-12,Cast Away,2000,https://letterboxd.com/claycarson/film/cast-away/,,,,2015-11-09
2019-11-12,Catch Me If You Can,2002,https://letterboxd.com/claycarson/film/catch-me-if-you-can-2002/,,,,2015-11-09
2019-11-12,Catfish,2010,https://letterboxd.com/claycarson/film/catfish/,,,,2015-11-09
2019-11-12,Charlie and the Chocolate Factory,2005,https://letterboxd.com/claycarson/film/charlie-and-the-chocolate-factory/,,,,2015-11-09
2019-11-12,Charlie Wilson's War,2007,https://letterboxd.com/claycarson/film/charlie-wilsons-war/,,,,2015-11-09
2019-11-12,Charlie's Angels,2000,https://letterboxd.com/claycarson/film/charlies-angels/,,,,2015-11-09
2019-11-12,Charlotte's Web,2006,https://letterboxd.com/claycarson/film/charlottes-web-2006/,,,,2015-11-09
2019-11-12,Chicken Run,2000,https://letterboxd.com/claycarson/film/chicken-run/,,,,2015-11-09
2019-11-12,Children of Men,2006,https://letterboxd.com/claycarson/film/children-of-men/,,,,2015-11-09
2019-11-12,National Lampoon's Christmas Vacation,1989,https://letterboxd.com/claycarson/film/national-lampoons-christmas-vacation/,,,,2015-11-09
2019-11-12,Cinderella,1950,https://letterboxd.com/claycarson/film/cinderella/,,,,2015-11-09
2019-11-12,Cinderella Man,2005,https://letterboxd.com/claycarson/film/cinderella-man/,,,,2015-11-09
2019-11-12,Citizenfour,2014,https://letterboxd.com/claycarson/film/citizenfour/,,,,2015-11-09
2019-11-12,Clerks,1994,https://letterboxd.com/claycarson/film/clerks/,,,,2015-11-09
2019-11-12,Cloverfield,2008,https://letterboxd.com/claycarson/film/cloverfield/,,,,2015-11-09
2019-11-12,Clue,1985,https://letterboxd.com/claycarson/film/clue/,,,,2015-11-09
2019-11-12,Crash,2004,https://letterboxd.com/claycarson/film/crash-2004/,,,,2015-11-09
